
campaign_id,campaign_name,spend,impressions,clicks,date
1,summer_sale,172,4202,36,2026-06-10
1,summer_sale,288,1751,185,2026-06-01
3,festival_sale,333,2281,255,2026-06-19
4,clearance_sale,220,1673,246,2026-06-18
1,summer_sale,373,2135,233,2026-06-07
3,festival_sale,284,2382,194,2026-06-12
3,festival_sale,443,4915,170,2026-06-26
1,summer_sale,176,781,54,2026-06-03
3,festival_sale,334,4931,175,2026-06-20
3,festival_sale,116,3928,222,2026-06-20
4,clearance_sale,240,3149,197,2026-06-21
2,winter_sale,371,3451,271,2026-06-09
4,clearance_sale,263,3232,294,2026-06-17
5,new_launch,344,1949,204,2026-06-29
4,clearance_sale,239,526,247,2026-06-08
3,festival_sale,442,1978,105,2026-06-14
2,winter_sale,93,4476,84,2026-06-04
4,clearance_sale,440,3263,116,2026-06-16
5,new_launch,262,504,278,2026-06-05
2,winter_sale,351,2207,181,2026-06-04
2,winter_sale,257,4148,261,2026-06-04
3,festival_sale,397,1997,188,2026-06-13
5,new_launch,421,4860,236,2026-06-01
2,winter_sale,188,2114,91,2026-06-30
4,clearance_sale,142,2415,126,2026-06-17
2,winter_sale,189,4487,119,2026-06-04
1,summer_sale,153,882,197,2026-06-11
2,winter_sale,108,1424,63,2026-06-01
3,festival_sale,281,611,246,2026-06-07
5,new_launch,277,1773,216,2026-06-12
1,summer_sale,247,678,185,2026-06-04
3,festival_sale,94,3402,215,2026-06-24
2,winter_sale,494,1766,47,2026-06-19
3,festival_sale,400,1178,228,2026-06-08
5,new_launch,206,4735,31,2026-06-24
5,new_launch,80,3756,221,2026-06-27
4,clearance_sale,486,4426,76,2026-06-29
2,winter_sale,146,3331,267,2026-06-14
5,new_launch,286,3573,250,2026-06-18
1,summer_sale,429,4073,105,2026-06-14
2,winter_sale,309,4579,114,2026-06-01
3,festival_sale,104,4352,42,2026-06-17
1,summer_sale,343,3691,21,2026-06-15
3,festival_sale,263,1841,80,2026-06-05
4,clearance_sale,193,4065,281,2026-06-16
2,winter_sale,466,4858,145,2026-06-30
4,clearance_sale,328,4920,207,2026-06-23
2,winter_sale,338,3956,148,2026-06-20
5,new_launch,255,591,175,2026-06-08
3,festival_sale,141,759,239,2026-06-26
3,festival_sale,322,1928,198,2026-06-09
2,winter_sale,250,1473,36,2026-06-10
1,summer_sale,148,895,198,2026-06-11
2,winter_sale,51,2863,84,2026-06-06
1,summer_sale,260,1056,52,2026-06-22
3,festival_sale,373,3270,224,2026-06-12
2,winter_sale,256,1186,285,2026-06-04
2,winter_sale,269,970,28,2026-06-11
3,festival_sale,420,1579,85,2026-06-01
5,new_launch,259,2124,293,2026-06-23
4,clearance_sale,261,2564,278,2026-06-18
3,festival_sale,324,2176,125,2026-06-19
3,festival_sale,224,2136,81,2026-06-26
1,summer_sale,372,4441,23,2026-06-13
4,clearance_sale,202,2874,112,2026-06-28
4,clearance_sale,179,3801,37,2026-06-30
4,clearance_sale,168,4451,181,2026-06-27
4,clearance_sale,186,3512,272,2026-06-20
3,festival_sale,416,4702,147,2026-06-30
4,clearance_sale,90,2075,167,2026-06-30
2,winter_sale,74,757,265,2026-06-04
5,new_launch,445,748,130,2026-06-22
3,festival_sale,215,1192,172,2026-06-15
4,clearance_sale,395,3872,297,2026-06-17
4,clearance_sale,162,4561,164,2026-06-03
5,new_launch,229,1019,184,2026-06-13
5,new_launch,126,3418,56,2026-06-08
3,festival_sale,475,1429,165,2026-06-24
3,festival_sale,314,4602,299,2026-06-15
5,new_launch,347,2922,253,2026-06-25
1,summer_sale,73,1866,50,2026-06-28
2,winter_sale,73,4575,26,2026-06-09
4,clearance_sale,357,997,287,2026-06-27
1,summer_sale,100,757,88,2026-06-07
2,winter_sale,443,3416,55,2026-06-06
2,winter_sale,354,1395,105,2026-06-19
5,new_launch,357,2978,56,2026-06-17
2,winter_sale,474,4790,251,2026-06-20
1,summer_sale,277,3351,80,2026-06-13
1,summer_sale,363,3335,210,2026-06-12
